Fecha y Hora,Producto,Cantidad,Precio Unitario,Método de Pago
2023-07-25 13:18:00.126091,Sandwich de Jamón y Queso,2,13.38,Tarjeta de Débito
2023-09-20 15:28:53.201928,Muffin,1,4.07,Tarjeta de Crédito
2023-08-15 20:05:57.178379,Chocolate Caliente,4,10.75,Efectivo
2023-09-03 20:56:25.137250,Croissant,4,11.52,Efectivo
2023-01-04 08:48:11.477848,Té Negro,3,7.21,Pago Móvil
2023-05-30 02:48:44.087396,Té Verde,4,4.54,Tarjeta de Débito
2023-08-24 11:07:44.026967,Café Latte,2,4.01,Pago Móvil
2023-09-21 05:18:06.386176,Espresso,2,13.63,Efectivo
2023-10-07 06:33:32.348955,Jugo de Naranja,1,5.02,Tarjeta de Débito
2023-10-08 16:33:45.346391,Galleta,1,13.61,Tarjeta de Crédito
2023-03-15 23:05:28.358045,Sandwich de Jamón y Queso,2,11.42,Efectivo
2023-07-22 16:28:12.578616,Croissant,4,2.59,Tarjeta de Crédito
2023-12-20 13:25:16.185922,Espresso,3,12.81,Efectivo
2023-11-16 10:43:52.639358,Capuchino,4,6.93,Tarjeta de Crédito
2023-02-01 22:38:03.817767,Muffin,2,9.59,Efectivo
2023-11-01 10:01:55.791081,Espresso,2,13.61,Efectivo
2023-05-16 20:46:46.378518,Capuchino,3,11.42,Efectivo
2023-04-10 15:21:51.936343,Café Latte,2,3.13,Tarjeta de Crédito
2023-08-11 10:01:46.121885,Croissant,2,12.01,Tarjeta de Débito
2023-03-03 16:40:15.673163,Galleta,1,12.13,Efectivo
2023-03-17 17:51:31.283894,Galleta,4,8.55,Efectivo
2023-11-19 09:58:19.475321,Té Verde,2,2.5,Efectivo
2023-11-03 07:28:20.411005,Café Americano,1,4.88,Efectivo
2023-11-25 14:15:38.368502,Mocaccino,2,9.5,Tarjeta de Débito
2023-12-16 17:50:56.914257,Té Verde,1,13.1,Tarjeta de Crédito
2023-07-05 19:39:27.425061,Mocaccino,1,11.18,Pago Móvil
2023-09-27 22:19:13.437076,Sandwich de Jamón y Queso,3,8.93,Tarjeta de Crédito
2023-12-11 10:18:04.127303,Chocolate Caliente,4,4.45,Efectivo
2023-03-31 21:13:30.178009,Croissant,1,14.38,Tarjeta de Crédito
2023-01-05 21:52:42.255051,Café Americano,1,7.26,Efectivo
2023-06-10 16:04:09.479206,Espresso,1,11.36,Pago Móvil
2023-06-08 15:10:51.051168,Café Americano,1,13.04,Efectivo
2023-09-03 05:16:34.949195,Café Americano,2,5.19,Tarjeta de Crédito
2023-07-31 20:11:07.148718,Mocaccino,4,6.34,Pago Móvil
2023-04-28 05:07:33.228996,Café Americano,4,4.9,Efectivo
2023-09-30 00:40:08.067248,Café Americano,2,9.97,Pago Móvil
2023-04-03 20:33:00.876997,Té Negro,3,5.6,Efectivo
2023-09-05 14:28:19.010403,Chocolate Caliente,2,14.77,Efectivo
2023-07-12 04:07:12.925449,Brownie,2,6.73,Efectivo
2023-09-02 00:03:00.354805,Té Verde,4,2.82,Pago Móvil
2023-10-08 10:37:35.809848,Café Americano,4,5.34,Pago Móvil
2023-09-24 16:20:34.735559,Espresso,3,14.62,Pago Móvil
2023-08-26 11:11:35.253137,Café Americano,4,14.7,Tarjeta de Débito
2023-05-01 15:09:42.790719,Chocolate Caliente,2,10.65,Efectivo
2023-09-08 14:48:25.527281,Sandwich de Jamón y Queso,2,11.98,Efectivo
2023-01-16 02:54:09.053717,Té Negro,3,10.97,Tarjeta de Crédito
2023-08-12 20:36:55.244695,Sandwich de Jamón y Queso,2,3.51,Efectivo
2023-10-29 21:39:51.518387,Capuchino,3,10.99,Tarjeta de Crédito
2023-03-25 12:51:53.611338,Sandwich de Jamón y Queso,3,9.42,Tarjeta de Crédito
2023-05-20 09:24:18.001143,Brownie,2,7.15,Tarjeta de Crédito
